dataset,seed,n_nodes,n_leaves,depth,mean_node_margin,binary_split_fraction,method,fit_time_sec
adult,0,53.0,27.0,6.0,,,cart_fixed,0.0044406999950297
adult,0,31.0,16.0,9.0,,,cart_pruned,0.0761679999995976
adult,0,135.0,68.0,10.0,,,cart_tuned_depth,0.041369200014742
adult,0,,,,,,extra_trees,0.0709304000192787
adult,0,,,,,,linear_svm,0.0506959999911487
adult,0,53.0,27.0,6.0,0.2141990649393112,0.1538461538461538,mags_binary_excluded,0.043743300018832
adult,0,57.0,29.0,6.0,0.4152293974208497,0.3928571428571428,mags_fixed,0.0406791999994311
adult,0,35.0,18.0,5.0,0.4968864594684828,0.0,mags_tuned,1.5404056000115816
adult,0,53.0,27.0,6.0,0.1851839857457628,0.1538461538461538,matched_gini,0.043981499999063
adult,0,61.0,31.0,6.0,,,noise_augmented_cart,0.0843593000026885
adult,0,,,,,,random_forest,0.0887247000064235
adult,0,,,,,,rbf_svm,0.0502716999908443
adult,1,59.0,30.0,6.0,,,cart_fixed,0.0045246999943628
adult,1,61.0,31.0,14.0,,,cart_pruned,0.0727029000117909
adult,1,59.0,30.0,6.0,,,cart_tuned_depth,0.0409594000084325
adult,1,,,,,,extra_trees,0.0690367999777663
adult,1,,,,,,linear_svm,0.0453865000163205
adult,1,61.0,31.0,6.0,0.3522374000415966,0.3,mags_binary_excluded,0.0453635000158101
adult,1,63.0,32.0,6.0,0.5236043036670442,0.4838709677419355,mags_fixed,0.0456300999794621
adult,1,59.0,30.0,6.0,0.4089659200730688,0.0,mags_tuned,1.605028299993137
adult,1,59.0,30.0,6.0,0.3749744480671363,0.3448275862068966,matched_gini,0.0454388000071048
adult,1,55.0,28.0,6.0,,,noise_augmented_cart,0.0833226999966427
adult,1,,,,,,random_forest,0.0888001999992411
adult,1,,,,,,rbf_svm,0.0467639999988023
adult,2,53.0,27.0,6.0,,,cart_fixed,0.0049499000015202
adult,2,17.0,9.0,6.0,,,cart_pruned,0.0747694000019691
adult,2,99.0,50.0,8.0,,,cart_tuned_depth,0.042544199997792
adult,2,,,,,,extra_trees,0.0658153000113088
adult,2,,,,,,linear_svm,0.050474599993322
adult,2,53.0,27.0,6.0,0.3645940887819573,0.3076923076923077,mags_binary_excluded,0.0430320000159554
adult,2,61.0,31.0,6.0,0.5430529915565427,0.5,mags_fixed,0.0449120000121183
adult,2,21.0,11.0,4.0,0.1983663745023351,0.0,mags_tuned,1.4673896000022069
adult,2,53.0,27.0,6.0,0.3594855029291702,0.3076923076923077,matched_gini,0.042190300009679
adult,2,51.0,26.0,6.0,,,noise_augmented_cart,0.0839514000108465
adult,2,,,,,,random_forest,0.0876476000121329
adult,2,,,,,,rbf_svm,0.0447973000118508
adult,3,49.0,25.0,6.0,,,cart_fixed,0.0043038000003434
adult,3,7.0,4.0,2.0,,,cart_pruned,0.0818167999968864
adult,3,7.0,4.0,2.0,,,cart_tuned_depth,0.0430492000014055
adult,3,,,,,,extra_trees,0.0713621000177227
adult,3,,,,,,linear_svm,0.054578000010224
adult,3,47.0,24.0,6.0,0.3116312867891647,0.2608695652173913,mags_binary_excluded,0.0414439000014681
adult,3,51.0,26.0,6.0,0.4709445424896596,0.44,mags_fixed,0.04194809999899
adult,3,35.0,18.0,5.0,0.505133291241646,0.0,mags_tuned,1.484444900008384
adult,3,49.0,25.0,6.0,0.2985261945391584,0.25,matched_gini,0.0437872000038623
adult,3,55.0,28.0,6.0,,,noise_augmented_cart,0.0819489000132307
adult,3,,,,,,random_forest,0.0898507999954745
adult,3,,,,,,rbf_svm,0.0459912000223994
adult,4,63.0,32.0,6.0,,,cart_fixed,0.0044638999970629
adult,4,25.0,13.0,6.0,,,cart_pruned,0.0751535999879706
adult,4,23.0,12.0,4.0,,,cart_tuned_depth,0.0374083000060636
adult,4,,,,,,extra_trees,0.0763232000172138
adult,4,,,,,,linear_svm,0.0568035000178497
adult,4,61.0,31.0,6.0,0.2080433287667674,0.1666666666666666,mags_binary_excluded,0.0472542000061366
adult,4,61.0,31.0,6.0,0.2300176513399491,0.2,mags_fixed,0.0480954000086057
adult,4,25.0,13.0,4.0,0.5907833447707169,0.0,mags_tuned,1.7036064000276383
adult,4,61.0,31.0,6.0,0.2080433287667674,0.1666666666666666,matched_gini,0.0463900000031571
adult,4,67.0,34.0,6.0,,,noise_augmented_cart,0.0829045000136829
adult,4,,,,,,random_forest,0.0969563999969977
adult,4,,,,,,rbf_svm,0.0489534999942407
adult,5,61.0,31.0,6.0,,,cart_fixed,0.0045412000035867
adult,5,91.0,46.0,20.0,,,cart_pruned,0.0837305000168271
adult,5,61.0,31.0,6.0,,,cart_tuned_depth,0.0371083999925758
adult,5,,,,,,extra_trees,0.076877500017872
adult,5,,,,,,linear_svm,0.0614028999989386
adult,5,61.0,31.0,6.0,0.2362271385219753,0.2,mags_binary_excluded,0.0475634000031277
adult,5,61.0,31.0,6.0,0.4919857734991465,0.4666666666666667,mags_fixed,0.0469085999939125
adult,5,35.0,18.0,5.0,0.606374347459479,0.0,mags_tuned,1.7828179999778513
adult,5,61.0,31.0,6.0,0.3279884830067777,0.3,matched_gini,0.0453473000088706
adult,5,67.0,34.0,6.0,,,noise_augmented_cart,0.0848800999810919
adult,5,,,,,,random_forest,0.09520579999662
adult,5,,,,,,rbf_svm,0.0556898000068031
adult,6,45.0,23.0,6.0,,,cart_fixed,0.004819599998882
adult,6,57.0,29.0,12.0,,,cart_pruned,0.0835375000024214
adult,6,13.0,7.0,3.0,,,cart_tuned_depth,0.0397781000065151
adult,6,,,,,,extra_trees,0.0728593000094406
adult,6,,,,,,linear_svm,0.0503040000039618
adult,6,45.0,23.0,6.0,0.2823801930026823,0.2272727272727272,mags_binary_excluded,0.0420356999966315
adult,6,43.0,22.0,6.0,0.3963113424034327,0.3809523809523809,mags_fixed,0.0439136000059079
adult,6,47.0,24.0,6.0,0.5339529482451794,0.0,mags_tuned,1.5905133000051137
adult,6,45.0,23.0,6.0,0.2823801930026823,0.2272727272727272,matched_gini,0.0412844000093173
adult,6,55.0,28.0,6.0,,,noise_augmented_cart,0.0808736000035423
adult,6,,,,,,random_forest,0.0933832000009715
adult,6,,,,,,rbf_svm,0.0504286999930627
adult,7,71.0,36.0,6.0,,,cart_fixed,0.004942800005665
adult,7,7.0,4.0,2.0,,,cart_pruned,0.0715273999958299
adult,7,71.0,36.0,6.0,,,cart_tuned_depth,0.0451651999901514
adult,7,,,,,,extra_trees,0.0746131000050809
adult,7,,,,,,linear_svm,0.0544434000039473
adult,7,73.0,37.0,6.0,0.2971546474464541,0.25,mags_binary_excluded,0.0535768000117968
adult,7,69.0,35.0,6.0,0.4517850441710851,0.4117647058823529,mags_fixed,0.0515741999843157
adult,7,25.0,13.0,4.0,0.4468233975163496,0.0,mags_tuned,1.6588336999993771
adult,7,73.0,37.0,6.0,0.2971546474464541,0.25,matched_gini,0.0516346000076737
adult,7,67.0,34.0,6.0,,,noise_augmented_cart,0.0819273999950382
adult,7,,,,,,random_forest,0.0853647999756503
adult,7,,,,,,rbf_svm,0.0457654000201728
adult,8,57.0,29.0,6.0,,,cart_fixed,0.0045657999871764
adult,8,23.0,12.0,6.0,,,cart_pruned,0.0916966999939177
adult,8,57.0,29.0,6.0,,,cart_tuned_depth,0.0453904999885708
adult,8,,,,,,extra_trees,0.0819496999902185
adult,8,,,,,,linear_svm,0.0623938999779056
adult,8,57.0,29.0,6.0,0.1083860512607055,0.0714285714285714,mags_binary_excluded,0.0468757000053301
adult,8,53.0,27.0,6.0,0.4320089385795009,0.3846153846153846,mags_fixed,0.0443198000139091
adult,8,23.0,12.0,4.0,0.2990835837733115,0.0,mags_tuned,1.8383121000078968
adult,8,57.0,29.0,6.0,0.1083860512607055,0.0714285714285714,matched_gini,0.0467154000070877
adult,8,67.0,34.0,6.0,,,noise_augmented_cart,0.0954912999877706
adult,8,,,,,,random_forest,0.1116351000091526
adult,8,,,,,,rbf_svm,0.0581467999727465
adult,9,63.0,32.0,6.0,,,cart_fixed,0.0045350999862421
adult,9,35.0,18.0,8.0,,,cart_pruned,0.0832741000049281
adult,9,215.0,108.0,16.0,,,cart_tuned_depth,0.0447546999785117
adult,9,,,,,,extra_trees,0.0802759999933186
adult,9,,,,,,linear_svm,0.0522615000081714
adult,9,61.0,31.0,6.0,0.3001581268900437,0.2333333333333333,mags_binary_excluded,0.0478443999891169
adult,9,59.0,30.0,6.0,0.497173339716664,0.4137931034482758,mags_fixed,0.0456088999926578
adult,9,61.0,31.0,6.0,0.3042394632933614,0.0,mags_tuned,2.0751455999852624
adult,9,61.0,31.0,6.0,0.3042394632933614,0.2666666666666666,matched_gini,0.049165600008564
