method,mean_accuracy,ci95_low,ci95_high,clean_accuracy,mean_fit_time_sec,datasets,seeds
cart_fixed,0.767356985072517,0.7188611944527908,0.8158527756922432,0.7975128096665557,0.002908768642328654,27,30
cart_pruned,0.7872578744833943,0.7368574031637728,0.8376583458030159,0.823577418166626,0.046434635678586446,27,30
cart_tuned_depth,0.783018392947978,0.7342960252973539,0.8317407605986021,0.8180762471985128,0.02572394691423485,27,30
extra_trees,0.8267231064318444,0.7767170182250139,0.8767291946386749,0.8319998079783701,0.05736875802459604,27,30
linear_svm,0.8350923914001326,0.7854432813226804,0.8847415014775848,0.8487419943136305,0.033087344321258386,27,30
mags_binary_excluded,0.7691324301498028,0.7203731617099136,0.817891698589692,0.8019009173520834,0.0470307986415494,27,30
mags_fixed,0.770455328876915,0.7215499674016735,0.8193606903521565,0.8025880632094677,0.04616700444448832,27,30
mags_tuned,0.7849383416824692,0.7351719185751936,0.8347047647897449,0.8201030326747445,1.3308313859255128,27,30
matched_gini,0.7687586226914703,0.7197523675236261,0.8177648778593145,0.802006292672567,0.046945974074503835,27,30
noise_augmented_cart,0.7789872060828287,0.7327563701892291,0.8252180419764282,0.8015710666132941,0.019958789629199104,27,30
random_forest,0.831360597960699,0.7861530184889928,0.8765681774324053,0.8437636171126447,0.08883803222180385,27,30
rbf_svm,0.8624934503309589,0.8144328377891176,0.9105540628728003,0.8666130038110373,0.03038607654316248,27,30
