family,outcome,method,baseline,datasets,seeds,mean_delta,ci95_low,ci95_high,median_delta,rank_biserial,wins,ties,losses,raw_p,holm_p
primary,accuracy_at_sigma_0.2,mags_fixed,matched_gini,27,30,0.0016967061854447306,-0.0007109698718128232,0.004104382242702285,0.0,0.1541501976284585,12,5,10,0.5266812848042953,0.5266812848042953
secondary_strong_baselines,accuracy_at_sigma_0.2,mags_tuned,cart_tuned_depth,27,30,0.001919948734491024,-0.002987204367090766,0.006827101836072814,0.00028571428571428915,0.07122507122507123,15,1,11,0.7508834218468307,0.9396792650222778
secondary_strong_baselines,accuracy_at_sigma_0.2,mags_tuned,cart_pruned,27,30,-0.0023195328009252246,-0.007172197080221108,0.002533131478370659,-0.002614379084967307,-0.37566137566137564,9,0,18,0.09056484699249268,0.271694540977478
secondary_strong_baselines,accuracy_at_sigma_0.2,mags_tuned,noise_augmented_cart,27,30,0.005951135599640441,-0.0124203101296709,0.024322581328951782,-0.0023809523809523838,-0.164021164021164,11,0,16,0.4698396325111389,0.9396792650222778
secondary_strong_baselines,accuracy_at_sigma_0.2,mags_tuned,random_forest,27,30,-0.04642225627822992,-0.07365037830675247,-0.019194134249707374,-0.025238095238095243,-0.7883597883597884,4,0,23,0.0001253187656402588,0.0007519125938415527
secondary_strong_baselines,accuracy_at_sigma_0.2,mags_tuned,extra_trees,27,30,-0.041784764749375286,-0.07055855920926583,-0.013010970289484738,-0.025833333333333295,-0.582010582010582,9,0,18,0.006998494267463684,0.027993977069854736
secondary_strong_baselines,accuracy_at_sigma_0.2,mags_tuned,linear_svm,27,30,-0.05015404971766339,-0.08925598480410125,-0.011052114631225532,-0.04646840148698884,-0.7354497354497355,5,0,22,0.00042723119258880615,0.0021361559629440308
secondary_strong_baselines,accuracy_at_sigma_0.2,mags_tuned,rbf_svm,27,30,-0.0775551086484896,-0.10810691861660168,-0.047003298680377524,-0.05133333333333328,-1.0,0,0,27,1.4901161193847656e-08,1.043081283569336e-07
exploratory_ablation,accuracy_at_sigma_0.2,mags_binary_excluded,matched_gini,27,30,0.0003738074583325452,-0.001149384594752038,0.0018969995114171284,0.0,-0.05138339920948617,10,5,12,0.8328664161727948,0.8328664161727948
exploratory_ablation,accuracy_at_sigma_0.2,mags_binary_excluded,mags_fixed,27,30,-0.0013228987271121859,-0.0030345660560468805,0.00038876860182250855,0.0,-0.45454545454545453,3,17,7,0.20262160771231197,0.40524321542462394
