family,outcome,method,baseline,datasets,seeds,mean_delta,ci95_low,ci95_high,median_delta,rank_biserial,wins,ties,losses,raw_p,holm_p
constrained_attack_attack_success_rate,attack_success_rate,mags_fixed,matched_gini,27,30,-0.005240992251867425,-0.009538422493516618,-0.0009435620102182327,0.0,-0.43873517786561267,10,5,12,0.07157001770872025,0.07157001770872025
constrained_attack_attack_success_rate,attack_success_rate,mags_fixed,cart_fixed,27,30,0.020540082423994292,0.0043642098059900845,0.036715955041998496,0.009122807017543854,0.8814229249011858,19,5,3,0.0002946941121244842,0.001473470560622421
constrained_attack_attack_success_rate,attack_success_rate,mags_tuned,cart_tuned_depth,27,30,0.01781609313219134,0.002422615370412518,0.03320957089397016,0.007949125596184414,0.7463768115942029,19,4,4,0.0017318266888954315,0.005195480066686294
constrained_attack_attack_success_rate,attack_success_rate,mags_tuned,cart_pruned,27,30,0.022308793252171968,0.005366248270368475,0.03925133823397546,0.009473684210526303,0.8043478260869565,20,4,3,0.0007353193273928831,0.0029412773095715324
constrained_attack_attack_success_rate,attack_success_rate,mags_binary_excluded,mags_fixed,27,30,0.004391359800469917,0.0009318710965604405,0.007850848504379393,0.0,0.9636363636363636,9,17,1,0.0069104298078147995,0.013820859615629599
constrained_attack_attacked_accuracy,attacked_accuracy,mags_fixed,matched_gini,27,30,0.0017890575695040465,-0.0009911466520488412,0.004569261791056934,0.0,0.1956521739130435,12,4,11,0.4115302280988584,1.0
constrained_attack_attacked_accuracy,attacked_accuracy,mags_fixed,cart_fixed,27,30,-0.002600553078537407,-0.01752932386011981,0.012328217703044996,0.0005299417064122921,0.06461538461538462,15,2,10,0.7775428401502809,1.0
constrained_attack_attacked_accuracy,attacked_accuracy,mags_tuned,cart_tuned_depth,27,30,-0.0036471841233673575,-0.014971290014589413,0.007676921767854698,0.0007619047619047525,0.08994708994708994,17,0,10,0.6963860541582108,1.0
constrained_attack_attacked_accuracy,attacked_accuracy,mags_tuned,cart_pruned,27,30,-0.010368325684835786,-0.021653528014033984,0.0009168766443624111,-0.006547619047619028,-0.4708994708994709,9,0,18,0.03189583122730255,0.15947915613651276
constrained_attack_attacked_accuracy,attacked_accuracy,mags_binary_excluded,mags_fixed,27,30,-0.001576866285021271,-0.0036422570756192,0.000488524505576658,0.0,-0.6,3,17,7,0.09260069782067576,0.37040279128270304
